Date : 2022-08-01 22:55:48
Directory : d:\Fluter Projects\uber_app\uber_rider_app
Total : 109 files,  15456 codes, 668 comments, 976 blanks, all 17100 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| android\gradle                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                            |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                            |          2 |          2 |          0 |          0 |          2 |
| assets\images                                                                                                     |          2 |          2 |          0 |          0 |          2 |
| functions                                                                                                         |          4 |      5,936 |          1 |         29 |      5,966 |
| ios                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                             |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                               |         55 |      7,910 |        409 |        687 |      9,006 |
| lib\Global                                                                                                        |          7 |        677 |        269 |        101 |      1,047 |
| lib\Global\Lagacy                                                                                                 |          3 |         34 |        175 |         30 |        239 |
| lib\Models                                                                                                        |         10 |        866 |          6 |        114 |        986 |
| lib\Screens                                                                                                       |         21 |      4,406 |        105 |        272 |      4,783 |
| lib\Screens\Auth Screens                                                                                          |          4 |        830 |         28 |         68 |        926 |
| lib\Screens\Drawer Screens                                                                                        |          3 |        960 |          2 |         39 |      1,001 |
| lib\Screens\Home Screens                                                                                          |         10 |      2,231 |         45 |        122 |      2,398 |
| lib\Screens\Home Screens\Ride Screen                                                                              |          1 |         69 |          1 |          4 |         74 |
| lib\Screens\Splash Screen                                                                                         |          2 |        298 |         30 |         32 |        360 |
| lib\Services                                                                                                      |          6 |      1,159 |         27 |        147 |      1,333 |
| lib\Services\Auth Provider                                                                                        |          1 |        388 |          5 |         32 |        425 |
| lib\Services\Data Provider                                                                                        |          3 |        454 |          8 |         61 |        523 |
| lib\Services\Notifications                                                                                        |          1 |        111 |         10 |         23 |        144 |
| lib\Services\Request Provider                                                                                     |          1 |        206 |          4 |         31 |        241 |
| lib\Widgets                                                                                                       |         10 |        731 |          2 |         46 |        779 |
| linux                                                                                                             |          5 |        102 |         27 |         38 |        167 |
| linux\flutter                                                                                                     |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                             |          5 |        455 |          3 |         12 |        470 |
| macos\Flutter                                                                                                     |          1 |         24 |          3 |          4 |         31 |
| macos\Runner                                                                                                      |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                           |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                              |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                               |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                           |         10 |        413 |         80 |        131 |        624 |
| windows\flutter                                                                                                   |          2 |         17 |          9 |         11 |         37 |
| windows\runner                                                                                                    |          8 |        396 |         71 |        120 |        587 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Fluter Projects\uber_app\uber_rider_app\README.md                                                              | Markdown   |         10 |          0 |          7 |         17 |
| d:\Fluter Projects\uber_app\uber_rider_app\analysis_options.yaml                                                  | YAML       |          3 |         23 |          4 |         30 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\build.gradle                                               | Groovy     |         56 |          5 |         13 |         74 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\google-services.json                                       | JSON       |         48 |          0 |          0 |         48 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\debug\AndroidManifest.xml                              | XML        |          4 |          4 |          1 |          9 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\main\AndroidManifest.xml                               | XML        |         45 |          8 |          2 |         55 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\main\kotlin\com\example\uber_rider_app\MainActivity.kt | Kotlin     |          4 |          0 |          3 |          7 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\main\res\drawable-v21\launch_background.xml            | XML        |          4 |          7 |          2 |         13 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\main\res\drawable\launch_background.xml                | XML        |          4 |          7 |          2 |         13 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\main\res\values-night\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\main\res\values\styles.xml                             | XML        |          9 |          9 |          1 |         19 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\app\src\profile\AndroidManifest.xml                            | XML        |          4 |          4 |          1 |          9 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\build.gradle                                                   | Groovy     |         28 |          0 |          5 |         33 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\gradle.properties                                              | Properties |          3 |          0 |          1 |          4 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\gradle\wrapper\gradle-wrapper.properties                       | Properties |          5 |          1 |          1 |          7 |
| d:\Fluter Projects\uber_app\uber_rider_app\android\settings.gradle                                                | Groovy     |          8 |          0 |          4 |         12 |
| d:\Fluter Projects\uber_app\uber_rider_app\assets\images\map_icon_black.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\Fluter Projects\uber_app\uber_rider_app\assets\images\map_icon_blue.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\Fluter Projects\uber_app\uber_rider_app\firebase.json                                                          | JSON       |         20 |          0 |          1 |         21 |
| d:\Fluter Projects\uber_app\uber_rider_app\functions\.eslintrc.js                                                 | JavaScript |         14 |          0 |          1 |         15 |
| d:\Fluter Projects\uber_app\uber_rider_app\functions\index.js                                                     | JavaScript |        343 |          1 |         26 |        370 |
| d:\Fluter Projects\uber_app\uber_rider_app\functions\package-lock.json                                            | JSON       |      5,553 |          0 |          1 |      5,554 |
| d:\Fluter Projects\uber_app\uber_rider_app\functions\package.json                                                 | JSON       |         26 |          0 |          1 |         27 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\AppDelegate.swift                                           | Swift      |         12 |          0 |          2 |         14 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json            | JSON       |        122 |          0 |          1 |        123 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json          | JSON       |         23 |          0 |          1 |         24 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md              | Markdown   |          3 |          0 |          2 |          5 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\Base.lproj\LaunchScreen.storyboard                          | XML        |         36 |          1 |          1 |         38 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\Base.lproj\Main.storyboard                                  | XML        |         25 |          1 |          1 |         27 |
| d:\Fluter Projects\uber_app\uber_rider_app\ios\Runner\Runner-Bridging-Header.h                                    | C++        |          1 |          0 |          1 |          2 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\Lagacy\config.dart                                          | Dart       |          1 |          1 |          1 |          3 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\Lagacy\constants.dart                                       | Dart       |          0 |        174 |         27 |        201 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\Lagacy\uber_cars.dart                                       | Dart       |         33 |          0 |          2 |         35 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\config.dart                                                 | Dart       |         19 |          1 |          9 |         29 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\constants.dart                                              | Dart       |        254 |         86 |         34 |        374 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\functions.js                                                | JavaScript |        343 |          1 |         26 |        370 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Global\uber_cars.dart                                              | Dart       |         27 |          6 |          2 |         35 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\address.dart                                                | Dart       |         73 |          0 |         12 |         85 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\car_model.dart                                              | Dart       |         80 |          0 |         14 |         94 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\directions.dart                                             | Dart       |         43 |          1 |          6 |         50 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\driver_model.dart                                           | Dart       |         73 |          1 |         15 |         89 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\nearby_drivers.dart                                         | Dart       |         51 |          1 |         12 |         64 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\person_model.dart                                           | Dart       |        135 |          1 |         12 |        148 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\predictions.dart                                            | Dart       |         53 |          0 |         11 |         64 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\ride_request_model.dart                                     | Dart       |        229 |          1 |         17 |        247 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\uber_car_model.dart                                         | Dart       |          8 |          0 |          2 |         10 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Models\user_model.dart                                             | Dart       |        121 |          1 |         13 |        135 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\login_screen.dart                             | Dart       |        164 |          0 |         12 |        176 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\phone_verify_screen.dart                      | Dart       |        280 |         26 |         30 |        336 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\signup_screen.dart                            | Dart       |        294 |          0 |         14 |        308 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Auth Screens\verify_email.dart                             | Dart       |         92 |          2 |         12 |        106 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Drawer Screens\about_us.dart                               | Dart       |        233 |          0 |          5 |        238 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Drawer Screens\profile_screen.dart                         | Dart       |        467 |          0 |         17 |        484 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Drawer Screens\trips.dart                                  | Dart       |        260 |          2 |         17 |        279 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\Ride Screen\pay_cash_dialog.dart              | Dart       |         69 |          1 |          4 |         74 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\collapsed_panel.dart                          | Dart       |        107 |          1 |          6 |        114 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\google_maps_screen.dart                       | Dart       |        128 |          0 |          9 |        137 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\home_screen.dart                              | Dart       |        292 |          5 |         22 |        319 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\new_ride_screen.dart                          | Dart       |        493 |         21 |         19 |        533 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\panel_body.dart                               | Dart       |        308 |         13 |         16 |        337 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\ride_selection_list.dart                      | Dart       |        222 |          3 |         11 |        236 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\ride_selection_panel.dart                     | Dart       |        388 |          0 |         24 |        412 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\ride_selection_tile.dart                      | Dart       |         85 |          0 |          6 |         91 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Home Screens\uber_drawer.dart                              | Dart       |        139 |          1 |          5 |        145 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Splash Screen\fade_animation.dart                          | Dart       |         79 |         27 |         14 |        120 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\Splash Screen\splash_screen.dart                           | Dart       |        219 |          3 |         18 |        240 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\main_screen.dart                                           | Dart       |         76 |          0 |          8 |         84 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Screens\page.dart                                                  | Dart       |         11 |          0 |          3 |         14 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Auth Provider\user_auth_provider.dart                     | Dart       |        388 |          5 |         32 |        425 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Data Provider\address_provider.dart                       | Dart       |        385 |          8 |         46 |        439 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Data Provider\cloud_functions.dart                        | Dart       |         48 |          0 |         10 |         58 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Data Provider\request_assist.dart                         | Dart       |         21 |          0 |          5 |         26 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Notifications\notifications_service.dart                  | Dart       |        111 |         10 |         23 |        144 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Services\Request Provider\ride_request.dart                        | Dart       |        206 |          4 |         31 |        241 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\address_added_notifier.dart                                | Dart       |         25 |          0 |          4 |         29 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\address_widget.dart                                        | Dart       |         79 |          1 |          4 |         84 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\custom_button.dart                                         | Dart       |         87 |          0 |          4 |         91 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\custom_info_window.dart                                    | Dart       |         66 |          0 |          5 |         71 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\custom_textfield.dart                                      | Dart       |        208 |          0 |          9 |        217 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\divider.dart                                               | Dart       |         27 |          0 |          2 |         29 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\drawer_tile.dart                                           | Dart       |         70 |          0 |          4 |         74 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\floating_widget.dart                                       | Dart       |         21 |          0 |          4 |         25 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\is_user_allowed.dart                                       | Dart       |         41 |          0 |          3 |         44 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\Widgets\message_widget.dart                                        | Dart       |        107 |          1 |          7 |        115 |
| d:\Fluter Projects\uber_app\uber_rider_app\lib\main.dart                                                          | Dart       |         71 |          0 |          7 |         78 |
| d:\Fluter Projects\uber_app\uber_rider_app\linux\flutter\generated_plugin_registrant.cc                           | C++        |         11 |          4 |          5 |         20 |
| d:\Fluter Projects\uber_app\uber_rider_app\linux\flutter\generated_plugin_registrant.h                            | C++        |          5 |          5 |          6 |         16 |
| d:\Fluter Projects\uber_app\uber_rider_app\linux\main.cc                                                          | C++        |          5 |          0 |          2 |          7 |
| d:\Fluter Projects\uber_app\uber_rider_app\linux\my_application.cc                                                | C++        |         74 |         11 |         20 |        105 |
| d:\Fluter Projects\uber_app\uber_rider_app\linux\my_application.h                                                 | C++        |          7 |          7 |          5 |         19 |
| d:\Fluter Projects\uber_app\uber_rider_app\macos\Flutter\GeneratedPluginRegistrant.swift                          | Swift      |         24 |          3 |          4 |         31 |
| d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\AppDelegate.swift                                         | Swift      |          8 |          0 |          2 |         10 |
| d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json          | JSON       |         68 |          0 |          1 |         69 |
| d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\Base.lproj\MainMenu.xib                                   | XML        |        343 |          0 |          1 |        344 |
| d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\MainFlutterWindow.swift                                   | Swift      |         12 |          0 |          4 |         16 |
| d:\Fluter Projects\uber_app\uber_rider_app\pubspec.yaml                                                           | YAML       |         66 |         43 |          7 |        116 |
| d:\Fluter Projects\uber_app\uber_rider_app\test\widget_test.dart                                                  | Dart       |         14 |         10 |          7 |         31 |
| d:\Fluter Projects\uber_app\uber_rider_app\web\index.html                                                         | HTML       |         37 |         16 |          6 |         59 |
| d:\Fluter Projects\uber_app\uber_rider_app\web\manifest.json                                                      | JSON       |         35 |          0 |          1 |         36 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\flutter\generated_plugin_registrant.cc                         | C++        |         12 |          4 |          5 |         21 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\flutter\generated_plugin_registrant.h                          | C++        |          5 |          5 |          6 |         16 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\flutter_window.cpp                                      | C++        |         45 |          4 |         13 |         62 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\flutter_window.h                                        | C++        |         20 |          5 |          9 |         34 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\main.cpp                                                | C++        |         30 |          4 |         10 |         44 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\resource.h                                              | C++        |          9 |          6 |          2 |         17 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\utils.cpp                                               | C++        |         53 |          2 |         10 |         65 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\utils.h                                                 | C++        |          8 |          6 |          6 |         20 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\win32_window.cpp                                        | C++        |        183 |         15 |         48 |        246 |
| d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\win32_window.h                                          | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                             |            |     15,456 |        668 |        976 |     17,100 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
